zaehler_id,kunde_id,kundentyp,vertragsleistung_kw,monat,monat_idx,arbeitstage,feiertage_im_monat,mittlere_temperatur_c,heiztage,produktionsplan_index,wartung_aktiv,vormonat_verbrauch_kwh,letzte_3_monate_durchschnitt_kwh,vorjahr_monat_verbrauch_kwh,verbrauch_kwh
ZL-00001,KD-771155,Gewerbe,186,10/2025,10,23,1,14.0,75,0.881,0,15905.0,11977.149686643164,18488.0,17921.0
ZL-00001,KD-771155,Gewerbe,186,2025-11,11,20,1,5.0,300,0.918,0,17921.0,16761.0,18503.0,14558.0
ZL-00001,KD-771155,gewerbe,186,12.2025,12,23,2,2.9,352,0.942,0,14558.0,16128.0,21658.0,19530.0
ZL-00002,KD-231932,Gewerbe,57,01.2024,1,23,1,2.2,370,0.983,0,,16239.5,,1674.7888999552185
ZL-00002,KD-231932,Gewerbekunde,57,02.2024,2,21,0,4.2,320,1.08,0,1674.7888999552185,8116.394449977609,,8477.0
ZL-00002,KD-231932,Gewerbe,57,03.2024,3,21,0,4.3,318,1.061,0,8477.0,5075.894449977609,,7776.0
ZL-00002,KD-231932,Gewerbe,57,04.2024,4,22,1,8.6,210,1.121,1,7776.0,5975.929633318406,,4980.0
ZL-00002,KD-231932,Gewerbe,57,05.2024,5,23,1,14.0,75,1.072,0,4980.0,7077.666666666667,,7192.0
ZL-00002,KD-231932,Gewerbe,57,06.2024,6,20,0,17.6,0,0.978,0,7192.0,6649.333333333333,,5648.0
ZL-00002,KD-231932,Gewerbe,57,2024-07,7,23,0,20.7,0,0.934,0,5648.0,5940.0,,6731.0
ZL-00002,KD-231932,Gewerbe,57,08/2024,8,22,0,19.8,0,0.833,0,6731.0,6523.666666666667,,5693.0
ZL-00002,KD-231932,Gewerbe,57,09/2024,9,21,0,14.8,55,0.917,0,5693.0,6024.0,,6316.0
ZL-00002,KD-231932,Gewerbe,57,2024-10,10,23,1,11.6,135,0.888,0,6316.0,6246.666666666667,,7672.0
ZL-00002,KD-231932,Gewerbe,57,11.2024,11,21,1,6.5,262,0.886,0,7672.0,6560.333333333333,,6645.0
ZL-00002,KD-231932,Gewerbe,57,12/2024,12,22,2,4.6,310,0.907,0,6645.0,6877.666666666667,,6624.0
ZL-00002,KD-231932,Gewerbe,57,01.2025,1,23,1,1.2,395,1.068,0,6624.0,6980.333333333333,1674.7888999552185,7807.0
ZL-00002,KD-231932,Gewerbe,57,02/2025,2,20,0,1.4,390,1.221,0,7807.0,7025.333333333333,8477.0,9110.0
ZL-00002,KD-231932,Gewerbe,57,03.2025,3,21,0,6.7,258,1.197,0,9110.0,7847.0,7776.0,8928.0
ZL-00002,KD-231932,Gewerbe,57,2025-04,4,22,1,10.3,167,1.191,0,8928.0,8615.0,4980.0,10212.0
ZL-00002,KD-231932,Gewerbe,57,05.2025,5,22,1,11.6,135,1.133,0,10212.0,9416.666666666666,7192.0,8812.0
ZL-00002,KD-231932,Gewerbe,57,06/2025,6,21,0,17.0,0,1.097,0,8812.0,9317.333333333334,5648.0,7289.0
ZL-00002,KD-231932,Gewerbe,57,07.2025,7,23,0,18.8,0,0.994,0,7289.0,8771.0,6731.0,8033.0
ZL-00002,KD-231932,Gewerbe,57,08/2025,8,21,0,18.2,0,0.882,0,8033.0,8044.666666666667,5693.0,7014.0
ZL-00002,KD-231932,Gewerbe,57,09.2025,9,22,0,16.6,10,0.817,1,7014.0,7445.333333333333,6316.0,3838.0
ZL-00002,KD-231932,Gewerbe,57,10/2025,10,23,1,9.8,180,0.94,1,3838.0,6295.0,7672.0,4679.0
ZL-00002,KD-231932,Gewerbe,57,11/2025,11,20,1,6.7,258,,0,4679.0,5177.0,6645.0,4461.0
ZL-00002,KD-231932,Gewerbe,57,12/2025,12,23,2,1.8,380,,0,4461.0,4326.0,6624.0,8450.0
ZL-00003,KD-465838,Gewerbe,23,01.2024,1,23,1,1.2,395,1.13,0,,4570.0,,2935.0
ZL-00003,KD-465838,Gewerbe,23,02/2024,2,21,0,2.6,360,1.261,0,2935.0,3698.0,,3107.0
ZL-00003,KD-465838,Gewerbe,23,03.2024,3,21,0,4.0,325,1.06,1,3107.0,3021.0,,1853.0
ZL-00003,KD-465838,gewerbe,23,2024-04,4,22,1,10.3,167,1.223,0,1853.0,2631.6666666666665,,3257.0
ZL-00003,KD-465838,Gewerbe,23,2024-05,5,23,1,17.4,0,1.128,0,3257.0,2739.0,,3175.0
ZL-00003,KD-465838,Gewerbe,23,06/2024,6,20,0,14.7,58,0.951,0,3175.0,2761.6666666666665,,2230.0
ZL-00003,KD-465838,Gewerbe,23,07.2024,7,23,0,18.9,0,0.914,0,2230.0,2887.3333333333335,,2405.0
ZL-00003,KD-465838,Gewerbe,23,08/2024,8,22,0,20.7,0,0.854,0,2405.0,2603.3333333333335,,2143.0
ZL-00003,KD-465838,Gewerbe,23,09.2024,9,21,0,15.5,38,0.821,0,2143.0,2259.3333333333335,,1782.0
ZL-00003,KD-465838,Gewerbe,23,10.2024,10,23,1,12.0,125,,0,1782.0,2110.0,,2147.0
ZL-00003,KD-465838,Gewerbe,23,2024-11,11,21,1,2.4,365,1.019,0,2147.0,2024.0,,2619.0
ZL-00003,KD-465838,Gewerbe,23,12.2024,12,22,2,2.9,352,0.924,0,2619.0,2182.6666666666665,,1882.0
ZL-00003,KD-465838,Gewerbe,23,01.2025,1,23,1,-0.1,428,0.991,0,1882.0,2216.0,2935.0,2846.0
ZL-00003,KD-465838,Gewerbe,23,02/2025,2,20,0,2.5,362,1.226,0,2846.0,2449.0,3107.0,2879.0
ZL-00003,KD-465838,Gewerbe,23,03/2025,3,21,0,6.0,275,1.038,0,2879.0,2535.6666666666665,1853.0,2711.0
ZL-00003,KD-465838,Gewerbe,23,04.2025,4,22,1,13.4,90,1.106,0,2711.0,2812.0,3257.0,2924.0
ZL-00003,KD-465838,Gewerbe,23,2025-05,5,22,1,14.8,55,0.995,0,2924.0,2838.0,3175.0,2800.0
ZL-00003,KD-465838,Gewerbe,23,06/2025,6,21,0,16.8,5,1.131,0,2800.0,2811.6666666666665,2230.0,2.476 MWh
ZL-00003,KD-465838,Gewerbe,23,07/2025,7,23,0,16.7,8,1.017,0,2476.0,2733.3333333333335,2405.0,2222.0
ZL-00003,KD-465838,Gewerbe,23,2025-08,8,21,0,19.2,0,0.804,0,2222.0,2499.3333333333335,2143.0,2158.0
ZL-00003,KD-465838,Gewerbekunde,23,09/2025,9,22,0,16.2,20,0.77,0,2158.0,2285.3333333333335,1782.0,2100.0
ZL-00003,KD-465838,Gewerbe,23,10.2025,10,23,1,10.9,152,0.931,0,2100.0,2160.0,2147.0,2304.0
ZL-00003,KD-465838,Gewerbe,23,11.2025,11,20,1,5.2,295,0.96,0,2304.0,2187.3333333333335,2619.0,2182.0
ZL-00003,KD-465838,Gewerbe,23,12.2025,12,23,2,1.1,398,0.972,0,2182.0,2195.3333333333335,1882.0,2715.0
ZL-00004,KD-359178,Kommunal,97,01/2024,1,23,1,1.8,380,1.039,0,,2243.0,,17419.0
ZL-00004,KD-359178,Kommunal,97,02/2024,2,21,0,3.1,348,1.111,0,17419.0,9800.5,,15378.0
ZL-00004,KD-359178,Kommunal,97,03/2024,3,21,0,8.0,225,1.222,0,15378.0,16398.5,,19494.0
ZL-00004,KD-359178,Kommunal,97,04/2024,4,22,1,8.5,212,1.256,0,19494.0,17430.333333333332,,2485.8994238616706
ZL-00004,KD-359178,Kommunal,97,05.2024,5,23,1,14.8,55,1.221,0,2485.8994238616706,12452.633141287224,,16620.0
ZL-00004,KD-359178,Kommunal,97,2024-06,6,20,0,16.8,5,0.941,0,16620.0,12866.633141287224,,12947.0
ZL-00004,KD-359178,Kommunal,97,07.2024,7,23,0,18.9,0,0.93,0,12947.0,10684.29980795389,,15516.0
ZL-00004,KD-359178,Kommunal,97,08/2024,8,22,0,19.6,0,0.978,0,15516.0,15027.666666666666,,13879.0
ZL-00004,KD-359178,Kommunal,97,09.2024,9,21,0,15.6,35,0.78,0,13879.0,14114.0,,11014.0
ZL-00004,KD-359178,Kommunal,97,2024-10,10,23,1,11.8,130,0.816,0,11014.0,13469.666666666666,,13355.0
ZL-00004,KD-359178,Kommunal,97,11.2024,11,21,1,,315,0.989,0,13355.0,12749.333333333334,,12165.0
ZL-00004,KD-359178,Kommunal,97,2024-12,12,22,2,0.9,403,0.963,0,12165.0,12178.0,,15253.0
ZL-00004,KD-359178,Kommunal,97,01/2025,1,23,1,3.2,345,0.957,1,15253.0,13591.0,17419.0,11835.0
ZL-00004,KD-359178,Kommunal,97,02.2025,2,20,0,1.7,382,,0,11835.0,13084.333333333334,15378.0,15733.0
ZL-00004,KD-359178,Kommunal,97,03.2025,3,21,0,,262,1.229,0,15733.0,14273.666666666666,19494.0,20809.0
ZL-00004,KD-359178,Kommunal,97,04.2025,4,22,1,11.6,135,1.15,0,20809.0,16125.666666666666,2485.8994238616706,18907.0
ZL-00004,KD-359178,Kommunal,97,05.2025,5,22,1,14.7,58,0.95,0,18907.0,18483.0,16620.0,13832.0
ZL-00004,KD-359178,Kommunal,97,06/2025,6,21,0,17.8,0,0.951,0,13832.0,17849.333333333332,12947.0,13512.0
ZL-00004,KD-359178,Kommunal,97,2025-07,7,23,0,20.3,0,1.071,0,13512.0,15417.0,15516.0,17407.0
ZL-00004,KD-359178,Kommunal,97,2025-08,8,21,0,15.8,30,0.865,0,17407.0,14917.0,13879.0,9162.0
ZL-00004,KD-359178,Kommunal,97,09.2025,9,22,0,14.3,67,0.831,0,9162.0,13360.333333333334,11014.0,10655.0
ZL-00004,KD-359178,Kommunal,97,10/2025,10,23,1,11.7,133,0.871,0,10655.0,12408.0,13355.0,13977.0
ZL-00004,KD-359178,Kommunal,97,2025-11,11,20,1,8.1,222,0.941,0,13977.0,11264.666666666666,12165.0,15877.0
ZL-00004,KD-359178,Kommunal,97,2025-12,12,23,2,2.1,372,0.969,0,15877.0,13503.0,15253.0,15890.0
ZL-00005,KD-744167,Industrie,244,2024-01,1,23,1,-0.3,432,1.182,0,,14927.0,,83819.0
ZL-00005,KD-744167,Industrie,244,2024-02,2,21,0,0.8,405,1.092,0,83819.0,49848.0,,55091.0
ZL-00005,KD-744167,Industrie,244,2024-03,3,21,0,7.3,242,1.23,0,55091.0,69455.0,,68379.0
ZL-00005,KD-744167,Industrie,244,2024-04,4,22,1,9.7,183,1.276,0,68379.0,69096.33333333333,,72012.0
ZL-00005,KD-744167,Industrie,244,05/2024,5,23,1,14.0,75,1.105,0,72012.0,65160.666666666664,,72186.0
ZL-00005,KD-744167,Industrie,244,06.2024,6,20,0,17.9,0,0.916,0,72186.0,70859.0,,54830.0
ZL-00005,KD-744167,Industrie,244,2024-07,7,23,0,14.6,60,0.94,0,54830.0,66342.66666666667,,58375.0
ZL-00005,KD-744167,Industrie,244,08/2024,8,22,0,22.0,0,0.825,0,58375.0,61797.0,,48036.0
ZL-00005,KD-744167,Industrie,244,09/2024,9,21,0,13.9,77,0.922,0,48036.0,53747.0,,60822.0
ZL-00005,KD-744167,Industrie,244,10.2024,10,23,1,11.4,140,0.887,0,60822.0,55744.333333333336,,68912.0
ZL-00005,KD-744167,Industrie,244,11.2024,11,21,1,3.4,340,,0,68912.0,59256.666666666664,,51552.0
ZL-00005,KD-744167,Industrie,244,2024-12,12,22,2,1.4,390,0.919,0,51552.0,60428.666666666664,,56.268 MWh
ZL-00005,KD-744167,Industrie,244,01.2025,1,23,1,2.9,352,0.926,0,56268.0,58910.666666666664,83819.0,61222.0
ZL-00005,KD-744167,Industrie,244,02.2025,2,20,0,-0.9,447,1.065,0,61222.0,56347.333333333336,55091.0,62302.0
ZL-00005,KD-744167,Industrie,244,03/2025,3,21,0,7.7,233,1.202,0,62302.0,59930.666666666664,68379.0,71787.0
ZL-00005,KD-744167,Industrie,244,04/2025,4,22,1,9.6,185,,0,71787.0,65103.666666666664,72012.0,59620.0
ZL-00005,KD-744167,Industrie,244,05/2025,5,22,1,14.7,58,1.05,0,59620.0,64569.666666666664,72186.0,66447.0
ZL-00005,KD-744167,Industrie,244,2025-06,6,21,0,18.0,0,0.924,0,66447.0,65951.33333333333,54830.0,63768.0
ZL-00005,KD-744167,Industrie,244,2025-07,7,23,0,19.7,0,0.94,0,63768.0,63278.333333333336,58375.0,49840.0
ZL-00005,KD-744167,Industrie,244,08.2025,8,21,0,17.7,0,0.925,0,49840.0,60018.333333333336,48036.0,44899.0
ZL-00005,KD-744167,Industrie,244,09.2025,9,22,0,14.5,62,0.912,0,44899.0,52835.666666666664,60822.0,48279.0
ZL-00005,KD-744167,Industrie,244,2025-10,10,23,1,8.8,205,,1,48279.0,47672.666666666664,68912.0,42363.0
ZL-00005,KD-744167,Industrie,244,2025-11,11,20,1,6.7,258,1.091,0,42363.0,45180.333333333336,51552.0,49903.0
ZL-00005,KD-744167,INDUSTRIE,244,12/2025,12,23,2,4.6,310,1.102,0,49903.0,46848.333333333336,56268.0,78745.0
ZL-00006,KD-210268,Gewerbekunde,52,2024-01,1,23,1,-1.7,468,0.977,0,,46133.0,,8405.0
ZL-00006,KD-210268,Gewerbe,52,2024-02,2,21,0,0.9,403,,0,8405.0,29154.0,,1496.3745186135595
ZL-00006,KD-210268,Gewerbe,52,03.2024,3,21,0,5.7,282,1.06,0,1496.3745186135595,4950.68725930678,,8595.0
ZL-00006,KD-210268,Gewerbe,52,04.2024,4,22,1,10.3,167,1.223,0,8595.0,6165.458172871186,,10057.0
ZL-00006,KD-210268,Gewerbe,52,05/2024,5,23,1,15.3,42,0.938,0,10057.0,6716.124839537853,,9030.0
ZL-00006,KD-210268,Gewerbe,52,2024-06,6,20,0,16.8,5,1.037,0,9030.0,9227.333333333334,,8713.0
ZL-00006,KD-210268,Gewerbe,52,07.2024,7,23,0,18.5,0,0.911,1,8713.0,9266.666666666666,,5374.0
ZL-00006,KD-210268,Gewerbe,52,2024-08,8,22,0,20.7,0,0.771,0,5374.0,7705.666666666667,,6907.0
ZL-00006,KD-210268,Gewerbe,52,2024-09,9,21,0,16.0,25,0.87,0,6907.0,6998.0,,7757.0
ZL-00006,KD-210268,Gewerbe,52,10/2024,10,23,1,11.8,130,0.856,0,7757.0,6679.333333333333,,6457.0
ZL-00006,KD-210268,Gewerbe,52,2024-11,11,21,1,6.2,270,0.99,0,6457.0,7040.333333333333,,8471.0
ZL-00006,KD-210268,Gewerbe,52,12/2024,12,22,2,3.5,338,0.87,0,8471.0,7561.666666666667,,7877.0
ZL-00006,KD-210268,Gewerbe,52,01.2025,1,23,1,0.0,425,1.004,0,7877.0,7601.666666666667,8405.0,7838.0
ZL-00006,KD-210268,Gewerbe,52,02.2025,2,20,0,0.8,405,1.06,0,7838.0,8062.0,1496.3745186135595,8827.0
ZL-00006,KD-210268,GEWERBE,52,03.2025,3,21,0,7.1,248,1.203,0,8827.0,8180.666666666667,8595.0,10224.0
ZL-00006,KD-210268,Gewerbe,52,04.2025,4,22,1,7.6,235,1.111,0,10224.0,8963.0,10057.0,10765.0
ZL-00006,KD-210268,Gewerbe,52,05/2025,5,22,1,14.1,73,1.169,0,10765.0,9938.666666666666,9030.0,10761.0
ZL-00006,KD-210268,Gewerbe,52,06/2025,6,21,0,16.5,12,0.968,0,10761.0,10583.333333333334,8713.0,9215.0
ZL-00006,KD-210268,Gewerbe,52,07.2025,7,23,0,16.9,3,0.943,0,9215.0,10247.0,5374.0,8930.0
ZL-00006,KD-210268,Gewerbekunde,52,08.2025,8,21,0,17.6,0,0.989,0,8930.0,9635.333333333334,6907.0,7437.0
ZL-00006,KD-210268,Gewerbe,52,09.2025,9,22,0,14.8,55,0.708,0,7437.0,8527.333333333334,7757.0,5956.0
ZL-00006,KD-210268,Gewerbe,52,10/2025,10,23,1,12.6,110,0.872,0,5956.0,7441.0,6457.0,8881.0
ZL-00006,KD-210268,Gewerbe,52,11.2025,11,20,1,5.0,300,,0,8881.0,7424.666666666667,8471.0,8255.0
ZL-00006,KD-210268,Gewerbe,52,12/2025,12,23,2,3.8,330,0.937,0,8255.0,7697.333333333333,7877.0,9550.0
ZL-00007,KD-832180,Kommunal,144,2024-01,1,23,1,1.1,398,,0,,8568.0,,16675.0
ZL-00007,KD-832180,Kommunal,144,02.2024,2,21,0,4.0,325,1.155,0,16675.0,12465.0,,15466.0
ZL-00007,KD-832180,Kommunal,144,03/2024,3,21,0,5.1,298,1.09,0,15466.0,16070.5,,14331.0
ZL-00007,KD-832180,Kommunal,144,04/2024,4,22,1,9.9,178,1.134,0,14331.0,15490.666666666666,,14561.0
ZL-00007,KD-832180,Kommunal,144,05/2024,5,23,1,14.6,60,0.993,0,14561.0,14786.0,,14488.0
ZL-00007,KD-832180,Kommunal,144,2024-06,6,20,0,16.7,8,0.984,0,14488.0,14460.0,,11495.0
ZL-00007,KD-832180,Kommunal,144,07.2024,7,23,0,20.4,0,0.999,0,11495.0,13514.666666666666,,10354.0
ZL-00007,KD-832180,Kommunal,144,08/2024,8,22,0,15.7,33,,0,10354.0,12112.333333333334,,12355.0
ZL-00007,KD-832180,Kommunal,144,09.2024,9,21,0,18.6,0,0.944,0,12355.0,11401.333333333334,,12202.0
ZL-00007,KD-832180,Kommunal,144,10/2024,10,23,1,12.3,117,0.862,0,12202.0,11637.0,,10648.0
ZL-00007,KD-832180,Kommunal,144,11.2024,11,21,1,5.7,282,0.899,0,10648.0,11735.0,,11148.0
ZL-00007,KD-832180,Kommunal,144,2024-12,12,22,2,1.2,395,1.059,0,11148.0,11332.666666666666,,14757.0
ZL-00007,KD-832180,Kommunal,144,01/2025,1,23,1,-0.3,432,1.168,0,14757.0,12184.333333333334,16675.0,19267.0
ZL-00007,KD-832180,Kommunal,144,02/2025,2,20,0,3.0,350,1.137,0,19267.0,15057.333333333334,15466.0,13786.0
ZL-00007,KD-832180,Kommunal,144,2025-03,3,21,0,7.5,238,1.271,0,13786.0,15936.666666666666,14331.0,15527.0
ZL-00007,KD-832180,Kommunal,144,04.2025,4,22,1,,180,1.187,0,15527.0,16193.333333333334,14561.0,16212.0
ZL-00007,KD-832180,Kommunal,144,05/2025,5,22,1,15.7,33,1.029,0,16212.0,15175.0,14488.0,13171.0
ZL-00007,KD-832180,Kommunal,144,2025-06,6,21,0,15.6,35,0.964,0,13171.0,14970.0,11495.0,10792.0
ZL-00007,KD-832180,Kommunal,144,07/2025,7,23,0,17.4,0,0.922,0,10792.0,13391.666666666666,10354.0,12022.0
ZL-00007,KD-832180,Kommunal,144,08/2025,8,21,0,21.7,0,0.744,0,12022.0,11995.0,12355.0,8.863 MWh
ZL-00007,KD-832180,Kommunal,144,09/2025,9,22,0,15.9,27,,0,8863.0,10559.0,12202.0,11392.0
ZL-00007,KD-832180,Kommunal,144,10.2025,10,23,1,13.1,98,0.961,0,11392.0,10759.0,10648.0,11648.0
ZL-00007,KD-832180,Kommunal,144,2025-11,11,20,1,4.7,308,1.033,0,11648.0,10634.333333333334,11148.0,13004.0
ZL-00007,KD-832180,Kommunal,144,2025-12,12,23,2,0.6,410,1.023,0,13004.0,12014.666666666666,14757.0,15759.0
ZL-00008,KD-154886,Industrie,487,2024-01,1,23,1,0.5,412,1.111,0,,12326.0,,86.704 MWh
ZL-00008,KD-154886,Industrie,487,2024-02,2,21,0,0.8,405,1.105,0,86704.0,49854.0,,67017.0
ZL-00008,KD-154886,Industrie,487,03/2024,3,21,0,7.1,248,,0,67017.0,76860.5,,83023.0
ZL-00008,KD-154886,Industrie,487,04.2024,4,22,1,8.9,202,1.176,0,83023.0,78914.66666666667,,64937.0
ZL-00008,KD-154886,Industrie,487,2024-05,5,23,1,12.2,120,1.04,0,64937.0,71659.0,,61116.0
ZL-00008,KD-154886,Industrie,487,06.2024,6,20,0,17.2,0,1.135,0,61116.0,69692.0,,68.874 MWh
ZL-00008,KD-154886,Industrie,487,2024-07,7,23,0,17.1,0,0.958,0,68874.0,64975.666666666664,,54724.0
ZL-00008,KD-154886,Industrie,487,2024-08,8,22,0,16.3,17,0.906,0,54724.0,61571.333333333336,,55561.0
ZL-00008,KD-154886,Industrie,487,09/2024,9,21,0,15.2,45,0.765,1,55561.0,59719.666666666664,,35338.0
ZL-00008,KD-154886,Industrie,487,10/2024,10,23,1,8.4,215,0.685,0,35338.0,48541.0,,54926.0
ZL-00008,KD-154886,Industrie,487,11/2024,11,21,1,7.2,245,0.961,0,54926.0,48608.333333333336,,63.085 MWh
ZL-00008,KD-154886,Industrie,487,12.2024,12,22,2,-0.1,428,0.96,1,63085.0,51116.333333333336,,48.166 MWh
ZL-00008,KD-154886,Industrie,487,01/2025,1,23,1,-2.4,485,1.154,0,48166.0,55392.333333333336,86704.0,87158.0
ZL-00008,KD-154886,Industrie,487,02/2025,2,20,0,1.6,385,1.057,0,87158.0,66136.33333333333,67017.0,54681.0
ZL-00008,KD-154886,Industrie,487,2025-03,3,21,0,6.2,270,1.108,0,54681.0,63335.0,83023.0,75019.0
ZL-00008,KD-154886,Industrie,487,2025-04,4,22,1,10.7,158,1.219,0,75019.0,72286.0,64937.0,80600.0
ZL-00008,KD-154886,Industrie,487,05/2025,5,22,1,14.3,67,1.11,0,80600.0,70100.0,61116.0,67.099 MWh
ZL-00008,KD-154886,Industrie,487,06/2025,6,21,0,15.4,40,0.92,0,67099.0,74239.33333333333,68874.0,52074.0
ZL-00008,KD-154886,Industrie,487,07.2025,7,23,0,20.1,0,0.928,0,52074.0,66591.0,54724.0,62871.0
ZL-00008,KD-154886,Industrie,487,08.2025,8,21,0,20.4,0,1.022,0,62871.0,60681.333333333336,55561.0,68945.0
ZL-00008,KD-154886,Industrie,487,2025-09,9,22,0,13.2,95,0.861,0,68945.0,61296.666666666664,35338.0,62986.0
